id,color,reg_city,assembly,cc,body
11866241,White,Islamabad,Local,660 cc,Hatchback
11866097,White,Punjab,Imported,660 cc,Hatchback
11657661,Superia White,Islamabad,Imported,660 cc,Hatchback
11864474,Pink,Islamabad,Imported,660 cc,Hatchback
11864310,Black,Islamabad,Imported,660 cc,Hatchback
11864207,Turquoise,Punjab,Imported,660 cc,Mini Van
11863939,White,Rawalpindi,Imported,660 cc,Hatchback
11735110,Black,Islamabad,Imported,660 cc,N/A
11863648,Silver,Islamabad,Imported,660 cc,Hatchback
11863601,Grey,Lahore,Imported,660 cc,N/A
11862738,White,Islamabad,Imported,660 cc,Hatchback
11862643,Silver,Islamabad,Local,660 cc,Hatchback
11862239,Yellow,Islamabad,Imported,660 cc,Hatchback
11651995,White,Lahore,Imported,660 cc,Hatchback
11862047,Black,Lahore,Imported,660 cc,Hatchback
11861988,Black,Islamabad,Imported,660 cc,Mini Van
11737252,Black,Islamabad,Imported,660 cc,N/A
11861857,Silver,Punjab,Imported,660 cc,Hatchback
11861678,Pink,Islamabad,Imported,660 cc,Hatchback
11861467,White,Islamabad,Imported,660 cc,Hatchback
11861457,Red,Islamabad,Imported,660 cc,Hatchback
11861434,Black,Islamabad,Imported,660 cc,Hatchback
11861185,Purple,Islamabad,Imported,660 cc,Hatchback
11861168,Magenta,Islamabad,Imported,660 cc,Hatchback
11860887,White,Islamabad,Imported,660 cc,Hatchback
11860810,Red,Punjab,Imported,660 cc,Hatchback
11859745,Blue,Lahore,Imported,660 cc,Hatchback
11859546,Silver,Islamabad,Local,660 cc,Hatchback
11859535,White,Punjab,Imported,660 cc,N/A
11859235,Blue,Punjab,Imported,660 cc,N/A
11858420,White,Islamabad,Local,660 cc,Hatchback
11858255,Beige,Islamabad,Local,660 cc,Hatchback
11857936,White,Punjab,Imported,660 cc,Hatchback
11857474,White,Punjab,Imported,660 cc,Hatchback
11856162,Solid White,Rawalpindi,Local,660 cc,Hatchback
11856966,White,Punjab,Local,660 cc,Hatchback
11732170,Silver,Punjab,Local,660 cc,Hatchback
11644655,Burgundy,Punjab,Imported,660 cc,Hatchback
11856194,Beige,Sindh,Imported,660 cc,Hatchback
11855588,White,Islamabad,Local,660 cc,Hatchback
11682210,Pearl White III,Islamabad,Imported,660 cc,Hatchback
11855256,Black,Islamabad,Imported,660 cc,Hatchback
11855106,White,Islamabad,Local,660 cc,Hatchback
11855019,White,Islamabad,Local,660 cc,Hatchback
11854430,White,Punjab,Local,660 cc,Hatchback
11854130,White,Lahore,Imported,660 cc,Hatchback
11853988,White,Islamabad,Local,660 cc,N/A
11853788,Silver,Islamabad,Imported,658 cc,Hatchback
11853729,Sky Blue,Islamabad,Imported,660 cc,Hatchback
11853388,Grey,Islamabad,Local,660 cc,Hatchback
11853297,Burgundy,Punjab,Imported,660 cc,Hatchback
11818772,White,Islamabad,Imported,660 cc,Mini Van
11852501,White,Islamabad,Imported,660 cc,N/A
11852332,White,Islamabad,Imported,660 cc,Hatchback
11851826,White,Punjab,Local,660 cc,Hatchback
11851616,White,Islamabad,Local,660 cc,Hatchback
11851530,Pink,Islamabad,Imported,660 cc,Hatchback
11850851,Magenta,Punjab,Imported,660 cc,Hatchback
11850553,Burgundy,Islamabad,Imported,660 cc,Hatchback
11850625,Moco Peach,Islamabad,Imported,660 cc,Hatchback
11850286,Black,Punjab,Imported,660 cc,Hatchback
11849724,Silver,Punjab,Imported,660 cc,Hatchback
11848956,White,Islamabad,Local,660 cc,Hatchback
11849007,White,Rawalpindi,Imported,660 cc,Hatchback
11848756,Maroon,Punjab,Local,660 cc,Hatchback
11848001,White,Islamabad,Local,660 cc,Hatchback
11847393,Blue,Islamabad,Imported,660 cc,Hatchback
11847054,White,Punjab,Imported,660 cc,N/A
11845916,Silver,Islamabad,Imported,660 cc,N/A
11846621,White,Islamabad,Imported,660 cc,Hatchback
11846536,White,Punjab,Imported,660 cc,N/A
11846364,Burgundy,Islamabad,Imported,660 cc,Hatchback
11846322,White,Punjab,Imported,660 cc,N/A
11669047,Silky Silver Metallic,Punjab,Imported,660 cc,Hatchback
11845723,Black,Lahore,Imported,660 cc,Hatchback
11845488,Black,Islamabad,Imported,660 cc,Hatchback
11845138,White,Islamabad,Imported,660 cc,N/A
11704438,Maroon,Islamabad,Imported,660 cc,Hatchback
11844775,White,Islamabad,Local,660 cc,Hatchback
11844467,Black,Islamabad,Imported,660 cc,Hatchback
11843152,White,Islamabad,Local,660 cc,Hatchback
11843083,Silver,Islamabad,Imported,660 cc,Hatchback
11843056,Silver,Punjab,Imported,660 cc,Hatchback
11843004,Silver,Islamabad,Local,660 cc,Hatchback
11842858,White,Islamabad,Local,660 cc,Hatchback
11841945,Black,Islamabad,Imported,660 cc,Hatchback
11841973,Black,Punjab,Local,660 cc,Mini Van
11840865,Black,Islamabad,Imported,660 cc,Hatchback
11840552,White,Islamabad,Imported,660 cc,Hatchback
11839974,White,Islamabad,Local,660 cc,Hatchback
11839779,White,Islamabad,Local,660 cc,Hatchback
11839724,White,Islamabad,Imported,660 cc,Hatchback
11839542,White,Islamabad,Imported,660 cc,Hatchback
11839009,Beige,Lahore,Imported,660 cc,Hatchback
11838576,White,Islamabad,Imported,660 cc,Hatchback
11838806,White,Islamabad,Local,660 cc,Hatchback
11838786,light pink,Punjab,Local,660 cc,Hatchback
11668041,Yellow,Punjab,Imported,660 cc,Hatchback
11713078,Silver,Punjab,Imported,660 cc,N/A
