id,source,model_full,variant,year,price_lacs,mileage_km,transmission,city,area,badge,rating,pics,ago,region,url,img,days,body,posted_date,dupkey,dup,first_seen,is_new,prev_high,price_drop,flags,price_pkr
11857474,PakWheels,Suzuki Wagon R,FX,2015,25.6,153000.0,Automatic,Islamabad,Islamabad,,,12.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-islamabad-11857474,https://cache1.pakwheels.com/ad_pictures/1492/suzuki-wagon-r-fx-2-2015-149269222.jpg,1.0,Tall-boy,2026-08-14,suzuki wagon r|2015|25.6|153000,False,2026-08-14T15:19,False,25.6,,,2560000.0
11857131,PakWheels,Suzuki Alto,VXR,2022,25.8,58000.0,Manual,Islamabad,Islamabad,,,16.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11857131,https://cache4.pakwheels.com/ad_pictures/1492/suzuki-alto-vxr-2-2022-149264110.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2022|25.8|58000,False,2026-08-14T21:07,False,25.8,,,2580000.0
11856162,PakWheels,Suzuki Alto,VXR,2024,26.8,35000.0,Manual,Rawalpindi,Rawalpindi,,,12.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11856162,https://cache2.pakwheels.com/ad_pictures/1492/suzuki-alto-vxr-2-2024-149249642.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2024|26.8|35000,False,2026-08-14T12:49,False,26.8,,,2680000.0
11857936,PakWheels,Suzuki Hustler,G Turbo,2017,26.95,124000.0,Automatic,Islamabad,Islamabad,,,6.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-hustler-2017-for-sale-in-islamabad-11857936,https://cache1.pakwheels.com/ad_pictures/1492/suzuki-hustler-g-turbo-2-2017-149277084.jpg,1.0,Tall-boy,2026-08-14,suzuki hustler|2017|26.95|124000,False,2026-08-14T18:27,False,26.95,,,2695000.0
11787475,PakWheels,Suzuki Alto,VXR,2022,27.0,121260.0,Manual,Islamabad,Islamabad,Managed by PakWheels,9.1,14.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11787475,https://cache4.pakwheels.com/ad_pictures/1482/suzuki-alto-vxr-2-2022-148203008.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2022|27.0|121260,False,2026-07-30T17:22,False,27.0,,,2700000.0
11732170,PakWheels,Suzuki Alto,VXL,2019,27.0,47250.0,Automatic,Islamabad,Islamabad,,,20.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-islamabad-11732170,https://cache3.pakwheels.com/ad_pictures/1473/suzuki-alto-vxl-2-2019-147352061.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2019|27.0|47250,False,2026-08-14T10:02,False,27.0,,,2700000.0
11859546,PakWheels,Suzuki Alto,VXL,2021,27.1,100000.0,Automatic,Rawalpindi,Rawalpindi,,,4.0,24h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-11859546,https://cache2.pakwheels.com/ad_pictures/1493/suzuki-alto-vxl-2-2021-149303257.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2021|27.1|100000,False,2026-08-14T21:07,False,27.1,,,2710000.0
11858896,PakWheels,Suzuki Alto,VXR,2024,28.0,1.0,Manual,Rawalpindi,Rawalpindi,,,15.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11858896,https://cache4.pakwheels.com/ad_pictures/1492/suzuki-alto-vxr-2-2024-149293848.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2024|28.0|1,False,2026-08-14T18:27,False,28.0,,mileage implausibly low,2800000.0
11858420,PakWheels,Suzuki Alto,VXL,2021,28.5,108000.0,Automatic,Islamabad,Islamabad,,,10.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-islamabad-11858420,https://cache3.pakwheels.com/ad_pictures/1492/suzuki-alto-vxl-2-2021-149286015.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2021|28.5|108000,False,2026-08-14T18:27,False,28.5,,,2850000.0
11856966,PakWheels,Suzuki Alto,VXR,2024,29.0,33200.0,Manual,Rawalpindi,Rawalpindi,,,20.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11856966,https://cache1.pakwheels.com/ad_pictures/1492/suzuki-alto-vxr-2-2024-149261387.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2024|29.0|33200,False,2026-08-14T12:49,False,29.0,,,2900000.0
11706196,PakWheels,Nissan Clipper,RIO G 4WD,2019,29.0,158000.0,Automatic,Islamabad,Islamabad,,,9.0,1d,core,https://www.pakwheels.com/used-cars/nissan-clipper-2019-for-sale-in-islamabad-11706196,https://cache3.pakwheels.com/ad_pictures/1469/nissan-clipper-rio-g-4wd-2019-146951587.jpg,1.0,Van,2026-08-14,nissan clipper|2019|29.0|158000,False,2026-08-14T10:02,False,29.0,,,2900000.0
